ID,CUSTOMER,ORDERED_AT,STORE_ID,SUBTOTAL,TAX_PAID,ORDER_TOTAL
9bed808a-5074-4dfb-b1eb-388e2e60a6da,50a2d1c4-d788-4498-a6f7-dd75d4db588f,2016-09-01 15:01:00.000,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
b83630c1-0fdc-4cd2-818d-0b6d4384ce86,438005c2-dd1d-48aa-8bfd-7fb06851b5f8,2016-09-01 10:39:00.000,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
3b4a03db-7b23-4673-a88a-7f51b01ca497,5261268c-aa94-438a-921a-05efc0d414ac,2016-09-01 07:46:00.000,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
3368b213-6687-4338-bf73-b927ae72340f,f8486fce-bc07-4a4f-a6e9-ed6a06ba996c,2016-09-01 14:39:00.000,4b6c2304-2b9e-41e4-942a-cf11a1819378,600,36,636
739bf2f3-8d20-4159-9124-5451f1e4b136,341ed9b2-1760-4720-a1b1-42681d273c63,2016-09-01 10:57:00.000,4b6c2304-2b9e-41e4-942a-cf11a1819378,1100,65,1165
1d81152e-23a9-4ec0-a4ce-e76fc352e6f5,2660b7ac-6c46-4392-8ddc-26194c532341,2016-09-01 08:18:00.000,4b6c2304-2b9e-41e4-942a-cf11a1819378,500,30,530
de99d8c9-0128-4188-88f7-e44364e8161b,7e52ce3f-191d-4d27-a0a8-76706fd6173c,2016-09-01 11:57:00.000,4b6c2304-2b9e-41e4-942a-cf11a1819378,600,36,636
4bb7a9cc-61f6-4ddf-809e-6e483af920da,0000bd8e-496c-42aa-9430-fea7f9bd6a96,2016-09-01 07:29:00.000,4b6c2304-2b9e-41e4-942a-cf11a1819378,400,24,424
3cd8c16e-ba1a-4e32-9fec-2bf03997e063,3b47f466-5256-41a1-951c-efee13597676,2016-09-01 14:06:00.000,4b6c2304-2b9e-41e4-942a-cf11a1819378,2600,156,2756
6b368db3-7c1a-4e39-8c3a-f31b33a62b81,2480125c-2d37-405c-96b9-ca32b2c75b33,2016-09-01 11:08:00.000,4b6c2304-2b9e-41e4-942a-cf11a1819378,700,42,742
